Entity,Code,Year,Prevalence Anxiety disorders Male (Percent),Prevalence Anxiety disorders Female,Population (historical estimates),latitude,longitude,Percentage of Population with Anxiety
Albania,ALB,2019,2.98,5.19,2873883,41.153332,20.168331,8.17,""
Andorra,AND,2019,4.48,7.54,76361,42.506287,1.521801,12.02,""
Austria,AUT,2019,4.78,8.32,8879939,47.516232,14.550072,13.1,""
Belarus,BLR,2019,2.85,4.55,9673971,53.709808,27.953388,7.4,""
Belgium,BEL,2019,4.62,6.43,11510569,50.503887,4.469936,11.05,""
Bosnia and Herzegovina,BIH,2019,2.74,4.76,3360718,43.858180,18.412340,7.5,""
Bulgaria,BGR,2019,2.63,4.59,7052536,42.733883,25.485830,7.22,""
Croatia,HRV,2019,2.8,4.88,4129749,45.099998,15.200000,7.68,""
Cyprus,CYP,2019,5.15,8.75,1228840,35.126411,33.429859,13.9,""
Czech Republic,CZE,2019,2.49,4.29,10536876,49.817493,15.472962,6.78,"<p class='visInfo'>Czech Republic <br> The Czech Republic spends the least on mental healthcare out of all of the European Union countries. Out of the country’s total health care sector only 4% of spending is allocated to mental health care. Mental health is still stigmatised in Czech Republic and this effects thousands of patients which prevents them from getting the help that they need. Miroslava Janoušková from the National Institute of Mental Health said, “I can say that in the last ten years the attitude of the public towards people with a mental illness has been quite negative.” Czech Republic has a 6.78% rate of the number of males and females diagnosed with anxiety combined. This is low as the poor funding means that diagnoses aren't being made. <br>  <img src='https://cdn.glitch.global/f82fc12d-fe6f-4a1c-bac4-506e040d81e6/26b0b960-7228-4b01-81ba-7b3e517667d7.image.png?v=1679525303492'/></p>"
Denmark,DNK,2019,4.03,6.68,5795879,56.263920,9.501785,10.71,""
Estonia,EST,2019,2.78,4.44,1327039,58.595272,25.013607,7.22,""
Finland,FIN,2019,3.58,5.17,5521539,61.924110,25.748152,8.75,""
France,FRA,2019,4.46,9.17,64399760,46.227638,2.213749,13.63,""
Germany,DEU,2019,4.61,8.97,83148144,51.165691,10.451526,13.58,""
Greece,GRC,2019,4.63,7.87,10574026,39.074207,21.824312,12.5,""
Hungary,HUN,2019,2.66,4.59,9771799,47.162495,19.503304,7.25,""
Iceland,ISL,2019,4.16,7.01,360787,64.963051,-19.020836,11.17,""
Ireland,IRL,2019,5.56,9.52,4896021,53.412910,-8.243890,15.08,"<p class='visInfo'> Ireland <br> One of the most recent events that gave Irish citizens anxiety was the vote for Brexit. It caused the trade to Irish businesses to be decreased, affecting people’s livelihoods. Two-thirds of Irish exporters access the markets of other continents through the UK landbridge, but because they now need to register for customs and VAT rules apply , this makes it harder to do so. This impact to the economy could lower the Irish GDP in 2030 by up to 7%, and this uncertainty with money worries citizens who rely on local trade. Ireland has a mental health policy called Sharing the Vision which is extensive and includes mental health promotion plans to prevent mental illnesses from developing and increasing counselling availability, there are over 100 recommendations in the plan. Ireland has a 15.08% rate of males and females diagnosed with anxiety. <div> <img src='https://cdn.glitch.global/f82fc12d-fe6f-4a1c-bac4-506e040d81e6/Flag_of_Ireland.svg.png?v=1679562579709'/></div></p>"
Italy,ITA,2019,4.11,7.76,59727936,41.871941,12.567380,11.87,""
Latvia,LVA,2019,3.05,4.93,1916552,56.879635,24.603189,7.98,""
Lithuania,LTU,2019,3.45,5.56,2849083,55.169438,23.881275,9.01,""
Luxembourg,LUX,2019,4.32,7.26,619981,49.815273,6.129583,11.58,""
Malta,MLT,2019,5.08,8.61,503646,35.937496,14.375416,13.69,""
Moldova,MDA,2019,3.28,5.33,3109496,47.411631,28.369885,8.61,""
Monaco,MCO,2019,4.47,7.52,37059,43.750298,7.412841,11.99,""
Montenegro,MNE,2019,2.85,4.96,630403,42.708678,19.37439,7.81,""
Netherlands,NLD,2019,5.73,9.06,17363260,52.132633,5.291266,14.79,"<p class='visInfo'> Netherlands <br> The Netherlands sometimes have company doctors in the workplace which helps to mitigate stigma about mental health in the workplace, which many entice more employees to be diagnosed with their anxiety. Paul Blokhuis, who was once the State Secretary for Health, Welfare and Sport, prioritised mental health, including giving GPs more funding to work with specialists in mental health to help give treatment to patients. Edith Schippers, who was also once in this role, secured funding for an E-Health system that was anonymous, to eliminate embarrassment and stress from going to the doctors. In 2011 The Netherlands was spending 10.65% of their health funding on mental health, suggesting that the well-funded systems that they have in place are what encourages people to seek diagnosis. The Netherlands has a 14.79% rate of males and females diagnosed with anxiety combined. <div><img src='https://cdn.glitch.global/f82fc12d-fe6f-4a1c-bac4-506e040d81e6/190px-Flag_of_the_Netherlands.svg.png?v=1679558321052'/></div></p>"
North Macedonia,MKD,2019,2.82,4.89,2114175,41.608635,21.745275,7.71,""
Norway,NOR,2019,5.71,8.88,5348285,60.472024,8.468946,14.59,"<p class= 'visInfo'>Norway <br> Norway has universal healthcare which helps convince people to see a doctor since they know there is no financial setback. However a large cause of anxiety is the increase in poverty, and according to Statistics Norway the amount of people in Poverty has increased every year this decade, with 115,000 children in households that have persistently low income. The uncertainty of having a stable income will give many residents anxiety. However, Norway has a system called Community-based Mental Health Services which increased the availability of specialised mental health services in local areas, helping more people get the diagnoses they need. Norway has a 14.59% rate of males and females diagnosed with anxiety combined. <div><img src='https://cdn.glitch.global/f82fc12d-fe6f-4a1c-bac4-506e040d81e6/Norway-flag.png?v=1679559924257'/></div></p>"
Poland,POL,2019,2.45,4.19,38493600,51.919438,19.145136,6.64,"<p class='visInfo'>Poland <br> Most 18-24 year olds have expressed that living conditions are harmful to the mental health of Poles. The stigmatism in Poland around mental health is felt throughout the country. People who are diagnosed as mentally ill are unable to marry without a court order, having to spend time in hospital and being labelled as crazy. This makes it very hard for those with mental health to go back to functioning as part of society. The mental healthcare in Poland has been in a permanent state of crisis for many years with it being underfunded, short-staffed and being mostly based in psychiatric hospitals. Poland has a 6.64% rate of the number of males and females diagnosed with anxiety combined. This is low because people are unwilling to be diagnosed as they are scared of how they will be treated. <br>  <img src='https://cdn.glitch.global/f82fc12d-fe6f-4a1c-bac4-506e040d81e6/afb37224-5119-452a-88b0-55d807e420df.image.png?v=1679525291711'/></p>"
