Oligarch,Hometown,Hometown_LatLng,Stadium,Club,Stadium_LatLng, Stadium_Address,ClubColour
"Sheikh Mansour is the owner of Manchester City. The owner himself has a net worth of £17 billion however his family has a combined worth of around £1 trillion. Since his takeover in 2008, City have gone on to win 6 Premier League Titles, 2 Fa Cups, 6 League Cups and 3 Community Shields. They currently sit 2nd in the Premier League table.",Abu Dhabi,"24.460968035455046, 54.37832196103606",Etihad football stadium,Manchester City,"53.48319863947895, -2.200255727531904","Ashton New Rd, Manchester M11 3FF",#6CABDD
"The Glazer family own Manchester Untied with the late owner, Malcolm Glazer, passing the club on to his sons in 2014. Since his takeover in 2005, Man United have accumulated 6 Community Shields, 5 Premier League Titles, 1 FA Cup, 4 League Cups and both a Champion's and Europa League Titles. They currently sit 3rd in the Premier League table. ",New York,"40.717182917912496, -73.99548038189229",Old Trafford,Manchester United,"53.46321179646472, -2.2911291684723696","Sir Matt Busby Way, Old Trafford, Stretford, Manchester M16 0RA",#DA291C
"Todd Boehly is the owner of Chelsea. With a net worth of £5.3 billion he and Clearlake Capital took over the West London giants last year. Under his ownership the club have failed to secure neither a domestic or european trophy but have spent an eye watering £394 million on players. Chelsea currently sit 10th in the League. ",Connecticut,"41.077774502441066, -73.46903848785458",Stamford Bridge,Chelsea,"51.48168608497068, -0.1907550154473274","Fulham Rd., London SW6 1HS",#034694
"John W. Henry is the owner of Liverpool Football club and he is an American businessman and investor. Henry is also the founder and principal owner of Fenway Sports Group, which owns Liverpool FC, as well as the Boston Red Sox and other sports entities. Since Henry bought Liverpool FC in 2010, the club has experienced a resurgence in success. Under the leadership of manager Jürgen Klopp, Liverpool has won several major trophies, including premier leagues, FA cups, Champions Leagues and Community Shields. Currently Liverpool sit 6th in the league. ",Illinois,"39.93603922723236, -91.40937693332562",Anfield,Liverpool,"53.43084514655389, -2.9607634111520493","Anfield Rd, Anfield, Liverpool L4 0TH",#C8102E
"The current owner of Tottenham Hotspur Football Club is ENIC Group, a British investment company led by businessman Daniel Levy. ENIC acquired a controlling stake in the club in 2001 and has since overseen significant changes at Tottenham, both on and off the field. Under Levy's ownership, Tottenham has invested heavily in its playing squad and infrastructure, with the construction of a new stadium being a major highlight. However, there has been criticism from some fans who feel that ENIC has prioritized financial success over on-field success. Tottenham currently sit 4th in the League",Essex,"51.76069019367094, 0.5488625417913428",Tottenham Hotspur Stadium,Tottenham,"51.60429667718456, -0.06619363374441331","782 High Rd, London N17 0BX",#132257
"Stan Kroenke is the owner of Arsenal football club who became the majority shareholder of the club in 2011 and has been the sole owner since 2018. Since Kroenke took over, Arsenal has won several trophies, including three FA Cups (2014, 2015, and 2017) and two Community Shields (2014 and 2015). Despite these successes, Arsenal has struggled to compete for the Premier League title in recent years, finishing outside of the top four in the league for four consecutive seasons between 2017 and 2020 however in the current season, they see themselves top of the table with 10 games to go ",Missouri,"38.52524861421308, -93.21592476171497",Emirates Stadium,Arsenal,"51.5549658748328, -0.10838026607970977","Hornsey Rd, London N7 7AJ",#EF0107
"Yasir Al-Rumayyan is the Chairman of the Saudi Arabian Public Investment Fund (PIF), wealth fund controlled by the Saudi Arabian government, which own Newcastle United. They purchased the club in 2021 and due to the recent change in ownership, they are yet to win any trophies but have been active in the transfer market having spent over £100 million in the summer of 2021. They currently sit 5th in the League.",Buraydah,"26.41137505539071, 43.986886344539705",St James' Park,Newcastle United,"54.97564020335849, -1.621661537342768","Barrack Rd, Newcastle upon Tyne NE1 4SE",#241F20
"Crystal Palace Football Club is owned by American businessman Joshua Harris, who purchased the club in 2015 through his investment group, the Palace Partnership. Since Harris took over, Crystal Palace has not won any major trophies. However, the club has managed to establish itself as a consistent Premier League team, finishing in the top half of the table in several seasons. They currently sit 12th in the league.",Missouri,"40.19501460768191, -92.58124770565004",Selhurst Park,Crystal Palace,"51.39826880579111, -0.08571427867788199","Holmesdale Rd, London SE25 6PU",#1B458F
"Shahid Khan is a Pakistani-American billionaire businessman who purchased Fulham in 2013. Since Khan took over they have achieved promotion to the Premier League three times but have failed to establish themselves as a consistent club in the league and currently sit 9th in the league. ",Lahore,"31.5256008377163, 74.3673408632514",Craven Cottage ,Fulham,"51.47495391103526, -0.22178430161413523","Stevenage Rd, London SW6 6HH",#000000
"Evangelos Marinakis is the owner of Nottingham Forest. Forest as a club have only just gotten back into the Premier League after 23 years without and they currently sit 16th in the league in the middle of a relegation battle.",Piraeus,"37.943175354947044, 23.64631006278082", The City Ground,Nottingham Forest,"52.940038165549865, -1.1328378728108066","West Bridgford, Nottinghamshire, NG2 5FJ",#E53233
