Vessel/Spill,Address,Lat/Lng,Date,Minimum Spill,Maximum Spill,Company,Refs
El Palito Refinery,"Venezuela, Golfo Triste","10.7, -68.2",08-Aug-20,2700,2700,Petróleos de Venezuela,[1]
2020 Pointe D'Esny MV Wakashio oil spill,"Mauritius, Ile Aux Aigrettes and Mahebourg","-20.4205232, 57.7324845",25-Jul-20,1300,4300,"Wakashio Suisan Company Limited, Kagoshima, Japan",[2] [3]
Trans Mountain oil spill,"Canada, British Columbia, Abbotsford","49.0504377, -122.3044697",14-Jun-20,119,185,Trans Mountain,[4]
Norilsk diesel fuel spill,"Russia, Norilsk, Krasnoyarsk Krai","69.35579, 88.1892939",29-May-20,17500,17500,Nornickel,[5][6]
Tanker truck pumping out sludge from a vessel,"New Zealand, Tauranga, Bay of Plenty","-37.7475768, 176.1220183",30-Mar-20,2,2,,[7][8]
T.G. Williams Well No. 1 tank battery,"United States, Oakland Creek, Longview","32.5290889, -94.7338832",30-Mar-20,,,Fortune Resources,[9]
Greka Energy oil facility,"United States, Santa Maria","34.9530337, -120.4357191",30-Mar-20,,,Greka,[10]
True Oil pipeline,"United States, North Dakota, Red Wing Creek","47.5352936, -103.5001949",27-Mar-20,,,True Oil LLC,[11]
Tanker truck rollover,"United States, Santa Maria, Cuyama River","34.9030346, -120.3123799",21-Mar-20,15,20,,[12][13]
Keystone Pipeline 2019 spill,"United States, Walsh County, North Dakota","48.3777874, -97.75288719999999",29-Oct-19,1240,1240,TransCanada Corporation,[14]
Willowton Oil,"South Africa, KwaZulu-Natal, near Pietermaritzburg and Durban","-29.5997371, 30.3809131",Aug-19,,,Willowton Group,[15]
North East Brazil oil spill (suspected source: NM Bouboulina),"Brazil, Paraiba","-7.239960900000001, -36.7819505",29-Jul-19,,,Delta Tankers Ltd.,[16]
Guarello Island iron ore export terminal diesel spill,"Chile, Guarello Island, Magallanes Region","-50.3852778, -75.3527778",27-Jul-19,35,35,Compañía de Acero del Pacífico,[17][18]
MV Chrysanthi S bunkering spill at sea,"South Africa, Algoa Bay, Port of Ngqura","-33.8057668, 25.6795456",06-Jul-19,0,0,SA Marine Fuels (bunkering service company),[19][20]
MV Solomon Trader fuel oil spill,"Solomon Islands, Rennell Island","-11.6632521, 160.2646431",05-Feb-19,75,80,South Express Ltd,[21][22]
SeaRose FPSO production ship spill,"Canada, St. John's, Newfoundland and Labrador","47.5615096, -52.7125768",16-Nov-18,219,219,Husky Energy,[23][24]
Ulysse-Virginia collision,North of Corsica (international waters),"42.0396042, 9.012892599999999",Oct-18,,,,[25]
Port Erin diesel spill (source unknown),Isle of Man,"54.236107, -4.548056",23-Jul-18,,,unknown,[26]
"Doon, Iowa derailment","United States, Lyon County, Iowa","43.3954333, -96.15269850000001",22-Jun-18,520,520,BNSF Railway,[27]
Sanchi oil tanker collision with CF Crystal,East China Sea,"30.3953462, 125.9152074",06-Jan-18,138000,138000,National Iranian Tanker Company,[28]
Keystone Pipeline 2017 spill,"United States, Marshall County, South Dakota","45.7271214, -97.60462350000002",16-Nov-17,1322,1322,TransCanada Corporation,[29]
Delta House floating production platform spill,"United States, Gulf of Mexico, near Louisiana","30.9842977, -91.96233269999999",11 October 2017 � 12 October 2017,1080,1280,LLOG Exploration,[30][31]
Agia Zoni II,"Greece, Saronic Gulf","37.7358513, 23.6204644",10-Sep-17,2500,2500,Fos Petroleum SA,[32]
East River insulating oil spill,"United States, New York","40.7127753, -74.0059728",07-May-17,97,101,Con Edison,[33]
Energy Transfer Partners Dakota Access Pipeline Leak,"United States, North Dakota","47.5514926, -101.0020119",04-Apr-17,0,0,Energy Transfer Partners,[34]
Ennore oil spill,"India, Chennai, Ennore Port","13.0975198, 80.2935024",28-Jan-17,251,251,Darya Shipping Solutions,[35][36][37]
Belle Fourche pipeline leak,"United States, North Dakota, Billings County, Ash Coulee Creek","47.12036990000001, -103.4352846",05-Dec-16,571,571,Belle Fourche Pipeline Company,[38]
Fox Creek pipeline leak,"Canada, Alberta, Fox Creek","54.4009777, -116.8043462",06-Oct-16,240,240,Trilogy Energy,[39]
"BP Clair production platform, North Sea","United Kingdom, Shetland, Clair platform","60.1544159, -1.1464225",02-Oct-16,105,105,BP,[40]
2016 Colonial Pipeline Leak,"United States, Shelby County, Alabama","33.3039292, -86.6611083",12-Sep-16,1092,1092,Colonial Pipeline Co,[41]
North Battleford pipeline spill,"Canada, Saskatchewan, North Battleford","52.7764752, -108.2974556",21-Jul-16,170,210,Husky Energy,[42]
